Datetime,Open,High,Low,Close,Volume
2022-01-01 20:45:00,47393.78000000,47468.01000000,47347.01000000,47391.82000000,206.02299000
2022-01-01 21:00:00,47391.82000000,47573.05000000,47363.97000000,47509.55000000,277.01086000
2022-01-01 21:15:00,47509.55000000,47539.20000000,47340.00000000,47366.34000000,150.71611000
2022-01-01 21:30:00,47366.33000000,47491.03000000,47343.42000000,47445.58000000,229.45233000
2022-01-01 21:45:00,47445.59000000,47472.61000000,47268.79000000,47319.67000000,152.03997000
2022-01-01 22:00:00,47319.66000000,47370.00000000,47222.22000000,47262.69000000,167.09944000
2022-01-01 22:15:00,47262.70000000,47422.39000000,47255.00000000,47388.27000000,103.20575000
2022-01-01 22:30:00,47388.26000000,47489.83000000,47376.72000000,47448.29000000,105.17114000
2022-01-01 22:45:00,47448.29000000,47490.98000000,47369.75000000,47440.74000000,91.00228000
2022-01-01 23:00:00,47440.74000000,47455.29000000,47277.77000000,47334.34000000,126.07666000
2022-01-01 23:15:00,47334.33000000,47488.00000000,47328.24000000,47428.83000000,104.14312000
2022-01-01 23:30:00,47428.91000000,47585.93000000,47370.58000000,47498.17000000,118.01271000
2022-01-01 23:45:00,47498.17000000,47814.00000000,47492.69000000,47722.65000000,398.05705000
2022-01-02 00:00:00,47722.66000000,47750.00000000,47463.63000000,47517.62000000,294.05935000
2022-01-02 00:15:00,47517.63000000,47578.79000000,47381.12000000,47544.70000000,324.85868000
2022-01-02 00:30:00,47544.70000000,47699.39000000,47491.43000000,47638.95000000,266.91970000
2022-01-02 00:45:00,47641.55000000,47700.00000000,47575.69000000,47625.30000000,196.67044000
2022-01-02 01:00:00,47625.29000000,47641.83000000,47425.65000000,47442.34000000,138.49194000
2022-01-02 01:15:00,47442.34000000,47504.92000000,47412.89000000,47455.23000000,121.11451000
2022-01-02 01:30:00,47455.22000000,47485.23000000,47315.53000000,47388.64000000,116.61685000
2022-01-02 01:45:00,47388.64000000,47404.17000000,47315.38000000,47377.97000000,89.53030000
2022-01-02 02:00:00,47377.97000000,47438.08000000,47325.81000000,47436.78000000,99.55940000
2022-01-02 02:15:00,47438.08000000,47449.56000000,47310.00000000,47326.09000000,110.00959000
